Model_Name,Label,Accuracy,Precision,Recall,F1-Score
convnext_lg,B,0.9989030957221985,0.976190447807312,0.9534883499145508,0.9647058844566345
convnext_lg,S,0.9996343851089478,1.0,0.8888888955116272,0.9411764740943909
convnext_lg,S:H,1.0,0.0,0.0,0.0
convnext_lg,S:C,1.0,0.0,0.0,0.0
convnext_lg,S:D,1.0,0.0,0.0,0.0
convnext_lg,S:B,1.0,0.0,0.0,0.0
convnext_lg,S:G,1.0,0.0,0.0,0.0
convnext_lg,W,1.0,0.0,0.0,0.0
convnext_lg,L,0.995978057384491,0.7894737124443054,0.6818181872367859,0.7317073345184326
convnext_lg,O,0.9992687106132507,0.75,0.75,0.75
convnext_lg,M,0.9879341721534729,0.23333333432674408,0.4117647111415863,0.2978723347187042
convnext_lg,I,0.9893966913223267,0.9913793206214905,0.8041958212852478,0.8880308866500854
convnext_lg,N,1.0,0.0,0.0,0.0
convnext_lg,E,0.9926874041557312,0.0,0.0,0.0
convnext_lg,P,0.937111496925354,0.91862952709198,0.9884792566299438,0.952275276184082
convnext_lg,Y,1.0,0.0,0.0,0.0
convnext_lg,K,1.0,0.0,0.0,0.0
convnext_lg,G,0.9802559614181519,0.0,0.0,0.0
convnext_lg,T,1.0,0.0,0.0,0.0
convnext_lg,F,0.9934186339378357,0.5666666626930237,0.7727272510528564,0.6538461446762085
convnext_lg,C,0.9897623658180237,0.4285714328289032,0.36000001430511475,0.3913043439388275
convnext_lg,R,0.9992687106132507,0.6666666865348816,0.6666666865348816,0.6666666865348816
convnext_lg,NEG,0.9265082478523254,0.9066901206970215,0.7767722606658936,0.8367181420326233
